All songs with albums
Gas Lamp Blues                                     | All Night Wrong     
Lanyard Loop                                       | All Night Wrong     
The Things You See                                 | All Night Wrong     
Water on the Brain Pt. II                          | All Night Wrong     
Zone                                               | All Night Wrong     
An Gabhar Bán                                      | An Diolaim - Folk Roots of One of Ireland's Groups
By Chance It Was                                   | An Diolaim - Folk Roots of One of Ireland's Groups
Chuaigh mé na Rosann                               | An Diolaim - Folk Roots of One of Ireland's Groups
Coinleach Ghlas an Fhómair                         | An Diolaim - Folk Roots of One of Ireland's Groups
Cumha Eoghain Rua Uí Néill (Lament for Owen Roe)   | An Diolaim - Folk Roots of One of Ireland's Groups
Dhéanainn Súgradh                                  | An Diolaim - Folk Roots of One of Ireland's Groups
Dúlamán (Seaweed)                                  | An Diolaim - Folk Roots of One of Ireland's Groups
Eleanor Plunkett                                   | An Diolaim - Folk Roots of One of Ireland's Groups
Fairly Shot Of Her                                 | An Diolaim - Folk Roots of One of Ireland's Groups
Gaoth Barra na dTonn                               | An Diolaim - Folk Roots of One of Ireland's Groups
Rince Philib a'Cheoil                              | An Diolaim - Folk Roots of One of Ireland's Groups
Siúil A Rún (Irish Love Song)                      | An Diolaim - Folk Roots of One of Ireland's Groups
The Galtee Hunt                                    | An Diolaim - Folk Roots of One of Ireland's Groups
Two Sisters                                        | An Diolaim - Folk Roots of One of Ireland's Groups
Antenna Head                                       | Antenna             
Breakaway                                          | Antenna             
Cherry Red                                         | Antenna             
Cover Your Rig                                     | Antenna             
Deal Goin' Down                                    | Antenna             
Everything                                         | Antenna             
Fuzzbox Voodoo                                     | Antenna             
Girl In A T-Shirt                                  | Antenna             
Lizard Life                                        | Antenna             
PCH                                                | Antenna             
Pincushion                                         | Antenna             
World Of Swirl                                     | Antenna             
A Thing Going On                                   | Anyway The Wind Blows - The Anthology
After Midnight                                     | Anyway The Wind Blows - The Anthology
Anyway The Wind Blows                              | Anyway The Wind Blows - The Anthology
Artificial Paradise                                | Anyway The Wind Blows - The Anthology
Cajun Moon                                         | Anyway The Wind Blows - The Anthology
Call Me The Breeze                                 | Anyway The Wind Blows - The Anthology
Carry On                                           | Anyway The Wind Blows - The Anthology
Change Your Mind                                   | Anyway The Wind Blows - The Anthology
Changes                                            | Anyway The Wind Blows - The Anthology
City Girls                                         | Anyway The Wind Blows - The Anthology
Closer To You                                      | Anyway The Wind Blows - The Anthology
Cocaine                                            | Anyway The Wind Blows - The Anthology
